member_path,file_size,compress_size,crc32_hex,sha256,extension,classification,interesting,notes,extracted_relative_path
AndroidManifest.xml,49036,9049,96f854c9,8943ab65c9a83ad8b3bb3ea395339f4b839ee0323c2c185fb03a282409a64b87,.xml,apk_manifest,True,['package_metadata'],extracted_members\AndroidManifest.xml
DebugProbesKt.bin,1738,782,d5ac4dc2,ae8a082dd609313835ba93c3ef479a3af9903977d7bdc81df45bbd209ec7d0da,.bin,generic_apk_member,False,[],
META-INF/androidx.activity_activity-ktx.version,6,6,79b2a190,249182a01164b81a5f7af87e5c5cdbd3344a80a7a66dfca624cecfb1501b2420,.version,generic_apk_member,False,[],
META-INF/androidx.activity_activity.version,6,6,79b2a190,249182a01164b81a5f7af87e5c5cdbd3344a80a7a66dfca624cecfb1501b2420,.version,generic_apk_member,False,[],
META-INF/androidx.annotation_annotation-experimental.version,6,6,721c3f3f,78b591400c56b7b67b8cb3b2b8a8e65e9093897f02ce0878e6b5405c68620fa7,.version,generic_apk_member,False,[],
META-INF/androidx.appcompat_appcompat-resources.version,6,6,577760e3,1e5b51cde515396a9fa762909cf8ca6584ccc564b325d2eebeea76175fe95c4d,.version,generic_apk_member,False,[],
META-INF/androidx.appcompat_appcompat.version,6,6,577760e3,1e5b51cde515396a9fa762909cf8ca6584ccc564b325d2eebeea76175fe95c4d,.version,generic_apk_member,False,[],
META-INF/androidx.arch.core_core-runtime.version,67,61,4de833ac,1b7c606370188534dac5561fba2b2988093829697fce9e6e8832e9291d24ed00,.version,generic_apk_member,False,[],
META-INF/androidx.browser_browser.version,6,6,38ca8087,3eb1ef94b5890ca727158b106142685c8733b0ace5bcb4cf3f0ac14f9f0643f4,.version,generic_apk_member,False,[],
META-INF/androidx.core_core-ktx.version,7,7,d6eff90f,118705d21506adb8d7c06a51156bb59497679f644fb4ae3d14bbbfc366643124,.version,generic_apk_member,False,[],
META-INF/androidx.core_core.version,7,7,d6eff90f,118705d21506adb8d7c06a51156bb59497679f644fb4ae3d14bbbfc366643124,.version,generic_apk_member,False,[],
META-INF/androidx.credentials_credentials-play-services-auth.version,11,11,84ffdda7,aaf490c7f3bf12c9dc9d4c70971a0485b472606b384f8c6d9c554a7beabf11c7,.version,generic_apk_member,False,[],
META-INF/androidx.credentials_credentials.version,11,11,84ffdda7,aaf490c7f3bf12c9dc9d4c70971a0485b472606b384f8c6d9c554a7beabf11c7,.version,generic_apk_member,False,[],
META-INF/androidx.cursoradapter_cursoradapter.version,6,6,fd7ea868,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,.version,generic_apk_member,False,[],
META-INF/androidx.customview_customview.version,6,6,fd7ea868,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,.version,generic_apk_member,False,[],
META-INF/androidx.datastore_datastore.version,6,6,fd7ea868,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,.version,generic_apk_member,False,[],
META-INF/androidx.documentfile_documentfile.version,6,6,fd7ea868,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,.version,generic_apk_member,False,[],
META-INF/androidx.drawerlayout_drawerlayout.version,6,6,fd7ea868,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,.version,generic_apk_member,False,[],
META-INF/androidx.fragment_fragment.version,6,6,45c2cf0d,1575e1af4a95f12f70b4ee6a6adce8160953d93ea17dc2611b90883ccc3ad3b8,.version,generic_apk_member,False,[],
META-INF/androidx.interpolator_interpolator.version,6,6,fd7ea868,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,.version,generic_apk_member,False,[],
META-INF/androidx.legacy_legacy-support-core-utils.version,6,6,fd7ea868,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,.version,generic_apk_member,False,[],
