member_path,file_size,compress_size,crc32_hex,sha256,extension,classification,interesting,notes,extracted_relative_path
AndroidManifest.xml,1060,472,ca9dbf79,62c1df56bb61664ac3d7c32c7813e613c7266ac0b79fb63f4b710ffbf78e9967,.xml,apk_manifest,True,['package_metadata'],extracted_members\AndroidManifest.xml
lib/arm64-v8a/libFirebaseCppAnalytics.so,54792,17669,b4ed6dd0,49e48d2bc9b082ccd0539306caa3d62c0de5d65ce3d4695dc8396bcf22704e70,.so,native_library,False,[],
lib/arm64-v8a/libFirebaseCppApp-12_6_0.so,6032216,1575424,3c5f02ff,782c758507ecb2c1eacea25aad91aa725d39c3a32b05c020263a31b9527247ff,.so,native_library,False,[],
lib/arm64-v8a/libFirebaseCppAppCheck.so,73488,22001,9f0f21fe,33c1da1c4c1f3742e3fb22107051d72c3475b3e9197f9949e24291b7cdcd7a8a,.so,native_library,False,[],
lib/arm64-v8a/libFirebaseCppAuth.so,205272,56228,cccdb1f2,898137942bbeb565eb2a63d06223720949faf132b240dc9a9e0d9074c8f1f5d5,.so,native_library,False,[],
lib/arm64-v8a/libFirebaseCppDatabase.so,151424,40936,72701711,9e4b48f03411bdf8235922f4e046973d656d893d3b38ddf58a3e03a1ed5faa55,.so,native_library,False,[],
lib/arm64-v8a/libFirebaseCppFirestore.so,408232,97505,aab565e8,b7f58694fc6b681e6d89238887d81f7aebc105ceef641fbd5b8d51b64c8abadf,.so,native_library,False,[],
lib/arm64-v8a/libFirebaseCppFunctions.so,39776,11629,f6ba1d87,aa52d739608403470360dc3432daa13c301359511800f2ef5f07a2f369ec7dbd,.so,native_library,False,[],
lib/arm64-v8a/libFirebaseCppRemoteConfig.so,82752,24705,80412a11,cf9c3f8bc28b9f107fc32690b42a7ae630f3447a7d091fddecba9545a6a74160,.so,native_library,False,[],
lib/arm64-v8a/libapplovin-native-crash-reporter.so,860200,251998,c75d2a8f,ecf2a7327be482870f4c791392a50cecfeaabb2c76a7224898e9713a18c4c36a,.so,native_library,False,[],
lib/arm64-v8a/libil2cpp.so,47306632,14295176,db60cf40,aa4d6feff79f920f296a8b9d16fa323066123f9bf98cfaa824a1db7c2ecf975b,.so,il2cpp_native_runtime,True,['il2cpp_runtime'],extracted_members\lib\arm64-v8a\libil2cpp.so
lib/arm64-v8a/libmain.so,18608,2669,db43903b,e2a12641542457e7355f3da2fa93b138463711d7a1f0edea24e9d9cfff5fa0b4,.so,native_library,False,[],
lib/arm64-v8a/libunity.so,25859960,10410657,9903cefd,289952d16d2f8b463605895c15744915b208459018894854164e40a8c4d83ee9,.so,native_library,False,[],
stamp-cert-sha256,32,35,62d68276,1d9c2a02a93816ff5c7ae64f9aad02c23de49dc514620db1a7ad624d2a83679c,,generic_apk_member,False,[],
META-INF/BNDLTOOL.SF,1353,622,b946613f,bb1e59aa63d9eb096f2e0f675be1b6f1b97ce12bb3bc84f00cd2c2a274d2fa95,.sf,generic_apk_member,False,[],
META-INF/BNDLTOOL.RSA,1152,1021,c0a72380,cf8eba6e265c8ae1446a54633e13848e405fcdcf9a61e91ba6ace209e5f1dbab,.rsa,generic_apk_member,False,[],
META-INF/MANIFEST.MF,1245,555,286827a9,89805a6d4f220b18326abbde3fd2ac86d7069bb8ce5f901df0ca4070fee5f887,.mf,generic_apk_member,False,[],
